task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	rss	vmem	rchar	wchar
4	f9/561bca	705446	split_samples (4)	COMPLETED	0	2018-08-27 17:37:18.677	26m 24s	25m 34s	497.8%	7.3 GB	27.1 GB	31.9 GB	36.4 GB
11	72/41362f	705436	split_samples (11)	COMPLETED	0	2018-08-27 17:37:17.498	26m 35s	25m 54s	651.4%	7.2 GB	27.1 GB	24.9 GB	28.6 GB
10	7a/c3f20d	705464	split_samples (10)	COMPLETED	0	2018-08-27 17:37:24.214	26m 33s	25m 1s	759.4%	7.1 GB	27.1 GB	24.4 GB	27.9 GB
62	63/25b1e2	705474	split_samples (62)	COMPLETED	0	2018-08-27 17:37:25.404	26m 32s	6.7s	149.4%	567.2 MB	25.1 GB	31.5 MB	619.1 KB
30	72/77c24c	705443	split_samples (30)	COMPLETED	0	2018-08-27 17:37:18.345	26m 49s	26m 7s	1301.9%	7.5 GB	27.1 GB	24.6 GB	28.3 GB
18	56/18ef5e	705450	split_samples (19)	COMPLETED	0	2018-08-27 17:37:19.149	27m 3s	25m 50s	415.4%	7.6 GB	27.1 GB	24.1 GB	27.5 GB
17	89/24adb8	705462	split_samples (17)	COMPLETED	0	2018-08-27 17:37:23.996	27m 18s	25m 50s	316.3%	7.5 GB	27.1 GB	24.5 GB	28.1 GB
49	dc/cea4c5	705448	split_samples (49)	COMPLETED	0	2018-08-27 17:37:18.908	27m 38s	26m 49s	458.6%	7.4 GB	27.1 GB	23.7 GB	27.3 GB
63	00/4a20ba	705453	split_samples (63)	COMPLETED	0	2018-08-27 17:37:19.510	28m 3s	26m 52s	30590.7%	7.6 GB	27.1 GB	23.3 GB	27 GB
23	1f/d1e2cf	705456	split_samples (23)	COMPLETED	0	2018-08-27 17:37:21.237	28m 31s	27m 1s	411.9%	7.1 GB	27.1 GB	25.8 GB	29.7 GB
33	05/12c503	705458	split_samples (33)	COMPLETED	0	2018-08-27 17:37:21.473	28m 41s	27m 11s	513.5%	7.5 GB	27.1 GB	27.3 GB	31.3 GB
21	a1/f2f9b9	705463	split_samples (21)	COMPLETED	0	2018-08-27 17:37:24.106	28m 39s	27m 8s	31723.4%	6.5 GB	27.1 GB	26.5 GB	30.3 GB
25	ff/c658ca	705466	split_samples (25)	COMPLETED	0	2018-08-27 17:37:24.447	28m 41s	18m 7s	33435.1%	7.3 GB	27.1 GB	27.4 GB	31.4 GB
15	9d/bd134b	705438	split_samples (15)	COMPLETED	0	2018-08-27 17:37:17.732	29m 5s	28m 20s	638.9%	7.2 GB	27.1 GB	28.2 GB	32.3 GB
13	72/76aff2	705447	split_samples (13)	COMPLETED	0	2018-08-27 17:37:18.788	29m 59s	29m 10s	596.7%	7.4 GB	27.1 GB	26.5 GB	30.4 GB
34	56/27cab7	705455	split_samples (34)	COMPLETED	0	2018-08-27 17:37:20.291	30m 17s	28m 41s	495.2%	7.8 GB	27.1 GB	29.2 GB	33.4 GB
50	2a/7cb723	705467	split_samples (50)	COMPLETED	0	2018-08-27 17:37:24.572	30m 43s	16m 13s	733.5%	7.2 GB	27.1 GB	23 GB	26.5 GB
